op_id,op_type,dtype,variance,cal_amount_percent,value_range_in_bits,saturation,per
57,icraft::xir::SiLUNode,int8,0.27,0.00%,8;8,kld;kld,channel;tensor
58,icraft::xir::ConcatNode,int8,0.25,0.00%,8;8,kld;kld,channel;tensor
59,icraft::xir::Conv2dNode,int8,0.89,1.53%,8;8,kld;kld,channel;tensor
60,icraft::xir::SiLUNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
61,icraft::xir::Conv2dNode,int8,1.09,4.60%,8;8,kld;kld,channel;tensor
62,icraft::xir::SiLUNode,int8,0.24,0.00%,8;8,kld;kld,channel;tensor
63,icraft::xir::Conv2dNode,int8,1.36,1.02%,8;8,kld;kld,channel;tensor
64,icraft::xir::SiLUNode,int8,0.30,0.00%,8;8,kld;kld,channel;tensor
67,icraft::xir::Conv2dNode,int8,0.66,0.13%,8;8,kld;kld,channel;tensor
68,icraft::xir::SiLUNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
69,icraft::xir::Conv2dNode,int8,1.34,0.57%,8;8,kld;kld,channel;tensor
70,icraft::xir::SiLUNode,int8,0.22,0.00%,8;8,kld;kld,channel;tensor
71,icraft::xir::Conv2dNode,int8,1.26,0.57%,8;8,kld;kld,channel;tensor
72,icraft::xir::SiLUNode,int8,0.29,0.00%,8;8,kld;kld,channel;tensor
73,icraft::xir::AddNode,int8,0.44,0.00%,8;8,kld;kld,channel;tensor
74,icraft::xir::Conv2dNode,int8,1.22,0.57%,8;8,kld;kld,channel;tensor
75,icraft::xir::SiLUNode,int8,0.26,0.00%,8;8,kld;kld,channel;tensor
76,icraft::xir::Conv2dNode,int8,2.56,0.57%,8;8,kld;kld,channel;tensor
77,icraft::xir::SiLUNode,int8,1.17,0.00%,8;8,kld;kld,channel;tensor
78,icraft::xir::AddNode,int8,1.93,0.00%,8;8,kld;kld,channel;tensor
79,icraft::xir::Conv2dNode,int8,1.30,0.13%,8;8,kld;kld,channel;tensor
80,icraft::xir::SiLUNode,int8,0.39,0.00%,8;8,kld;kld,channel;tensor
81,icraft::xir::ConcatNode,int8,1.27,0.00%,8;8,kld;kld,channel;tensor
82,icraft::xir::Conv2dNode,int8,1.37,0.26%,8;8,kld;kld,channel;tensor
83,icraft::xir::SiLUNode,int8,0.34,0.00%,8;8,kld;kld,channel;tensor
84,icraft::xir::ConcatNode,int8,0.31,0.00%,8;8,kld;kld,channel;tensor
85,icraft::xir::Conv2dNode,int8,1.39,1.53%,8;8,kld;kld,channel;tensor
86,icraft::xir::SiLUNode,int8,0.32,0.00%,8;8,kld;kld,channel;tensor
87,icraft::xir::Conv2dNode,int8,0.90,0.51%,8;8,kld;kld,channel;tensor
88,icraft::xir::MaxPool2dNode,int8,0.81,0.00%,8;8,kld;kld,channel;tensor
89,icraft::xir::MaxPool2dNode,int8,0.82,0.00%,8;8,kld;kld,channel;tensor
90,icraft::xir::MaxPool2dNode,int8,0.79,0.00%,8;8,kld;kld,channel;tensor
91,icraft::xir::ConcatNode,int8,1.30,0.00%,8;8,kld;kld,channel;tensor
92,icraft::xir::Conv2dNode,int8,1.23,2.04%,8;8,kld;kld,channel;tensor
93,icraft::xir::SiLUNode,int8,0.15,0.00%,8;8,kld;kld,channel;tensor
94,icraft::xir::AddNode,int8,0.52,0.00%,8;8,kld;kld,channel;tensor
95,icraft::xir::Conv2dNode,int8,2.05,1.02%,8;8,kld;kld,channel;tensor
96,icraft::xir::SiLUNode,int8,0.54,0.00%,8;8,kld;kld,channel;tensor
97,icraft::xir::SplitNode,int8,0.53,0.00%,8;8,kld;kld,channel;tensor
98,icraft::xir::Conv2dNode,int8,1.58,0.51%,8;8,kld;kld,channel;tensor
100,icraft::xir::ReshapeNode,int8,1.58,0.00%,8;8,kld;kld,channel;tensor
101,icraft::xir::SplitNode,int8,1.51,0.00%,8;8,kld;kld,channel;tensor
102,icraft::xir::MultiplyNode,int8,0.05,0.00%,8;8,kld;kld,channel;tensor
103,icraft::xir::TransposeNode,int8,0.05,0.00%,8;8,kld;kld,channel;tensor
104,icraft::xir::MatmulNode,int8,7.42,0.00%,8;8,kld;kld,channel;tensor
105,icraft::xir::SoftmaxNode,int8,0.00,0.00%,8;8,kld;kld,channel;tensor
106,icraft::xir::TransposeNode,int8,0.00,0.00%,8;8,kld;kld,channel;tensor
107,icraft::xir::MatmulNode,int8,0.77,0.00%,8;8,kld;kld,channel;tensor
108,icraft::xir::ReshapeNode,int8,0.77,0.00%,8;8,kld;kld,channel;tensor
109,icraft::xir::ReshapeNode,int8,1.78,0.00%,8;8,kld;kld,channel;tensor
111,icraft::xir::Conv2dNode,int8,0.49,0.01%,8;8,kld;kld,channel;tensor
113,icraft::xir::AddNode,int8,0.52,0.00%,8;8,kld;kld,channel;tensor
114,icraft::xir::Conv2dNode,int8,0.53,0.26%,8;8,kld;kld,channel;tensor
115,icraft::xir::AddNode,int8,1.04,0.00%,8;8,kld;kld,channel;tensor
116,icraft::xir::Conv2dNode,int8,1.09,0.51%,8;8,kld;kld,channel;tensor
117,icraft::xir::SiLUNode,int8,0.05,0.00%,8;8,kld;kld,channel;tensor
118,icraft::xir::Conv2dNode,int8,0.52,0.51%,8;8,kld;kld,channel;tensor
119,icraft::xir::AddNode,int8,1.52,0.00%,8;8,kld;kld,channel;tensor
120,icraft::xir::ConcatNode,int8,1.02,0.00%,8;8,kld;kld,channel;tensor
121,icraft::xir::Conv2dNode,int8,1.69,1.02%,8;8,kld;kld,channel;tensor
122,icraft::xir::SiLUNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
123,icraft::xir::UpsampleNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
124,icraft::xir::ConcatNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
125,icraft::xir::Conv2dNode,int8,1.28,3.07%,8;8,kld;kld,channel;tensor
126,icraft::xir::SiLUNode,int8,0.26,0.00%,8;8,kld;kld,channel;tensor
129,icraft::xir::Conv2dNode,int8,0.81,0.13%,8;8,kld;kld,channel;tensor
130,icraft::xir::SiLUNode,int8,0.16,0.00%,8;8,kld;kld,channel;tensor
131,icraft::xir::Conv2dNode,int8,1.50,0.57%,8;8,kld;kld,channel;tensor
132,icraft::xir::SiLUNode,int8,0.19,0.00%,8;8,kld;kld,channel;tensor
133,icraft::xir::Conv2dNode,int8,1.26,0.57%,8;8,kld;kld,channel;tensor
134,icraft::xir::SiLUNode,int8,0.33,0.00%,8;8,kld;kld,channel;tensor
135,icraft::xir::AddNode,int8,0.47,0.00%,8;8,kld;kld,channel;tensor
136,icraft::xir::Conv2dNode,int8,1.03,0.57%,8;8,kld;kld,channel;tensor
137,icraft::xir::SiLUNode,int8,0.12,0.00%,8;8,kld;kld,channel;tensor
138,icraft::xir::Conv2dNode,int8,1.94,0.57%,8;8,kld;kld,channel;tensor
139,icraft::xir::SiLUNode,int8,1.14,0.00%,8;8,kld;kld,channel;tensor
140,icraft::xir::AddNode,int8,1.75,0.00%,8;8,kld;kld,channel;tensor
141,icraft::xir::Conv2dNode,int8,1.86,0.13%,8;8,kld;kld,channel;tensor
142,icraft::xir::SiLUNode,int8,0.36,0.00%,8;8,kld;kld,channel;tensor
143,icraft::xir::ConcatNode,int8,1.44,0.00%,8;8,kld;kld,channel;tensor
144,icraft::xir::Conv2dNode,int8,1.22,0.25%,8;8,kld;kld,channel;tensor
145,icraft::xir::SiLUNode,int8,0.17,0.00%,8;8,kld;kld,channel;tensor
146,icraft::xir::ConcatNode,int8,0.23,0.00%,8;8,kld;kld,channel;tensor
147,icraft::xir::Conv2dNode,int8,0.85,1.53%,8;8,kld;kld,channel;tensor
148,icraft::xir::SiLUNode,int8,0.10,0.00%,8;8,kld;kld,channel;tensor
149,icraft::xir::UpsampleNode,int8,0.10,0.00%,8;8,kld;kld,channel;tensor
150,icraft::xir::ConcatNode,int8,0.07,0.00%,8;8,kld;kld,channel;tensor
151,icraft::xir::Conv2dNode,int8,0.84,4.09%,8;8,kld;kld,channel;tensor
152,icraft::xir::SiLUNode,int8,0.28,0.00%,8;8,kld;kld,channel;tensor
155,icraft::xir::Conv2dNode,int8,0.27,0.13%,8;8,kld;kld,channel;tensor
156,icraft::xir::SiLUNode,int8,0.07,0.00%,8;8,kld;kld,channel;tensor
157,icraft::xir::Conv2dNode,int8,0.91,0.57%,8;8,kld;kld,channel;tensor
158,icraft::xir::SiLUNode,int8,0.22,0.00%,8;8,kld;kld,channel;tensor
159,icraft::xir::Conv2dNode,int8,1.04,0.57%,8;8,kld;kld,channel;tensor
160,icraft::xir::SiLUNode,int8,0.23,0.00%,8;8,kld;kld,channel;tensor
161,icraft::xir::AddNode,int8,0.37,0.00%,8;8,kld;kld,channel;tensor
162,icraft::xir::Conv2dNode,int8,0.71,0.57%,8;8,kld;kld,channel;tensor
163,icraft::xir::SiLUNode,int8,0.13,0.00%,8;8,kld;kld,channel;tensor
164,icraft::xir::Conv2dNode,int8,5.31,0.57%,8;8,kld;kld,channel;tensor
165,icraft::xir::SiLUNode,int8,3.33,0.00%,8;8,kld;kld,channel;tensor
166,icraft::xir::AddNode,int8,4.11,0.00%,8;8,kld;kld,channel;tensor
167,icraft::xir::Conv2dNode,int8,1.53,0.13%,8;8,kld;kld,channel;tensor
168,icraft::xir::SiLUNode,int8,0.39,0.00%,8;8,kld;kld,channel;tensor
169,icraft::xir::ConcatNode,int8,2.84,0.00%,8;8,kld;kld,channel;tensor
170,icraft::xir::Conv2dNode,int8,2.81,0.25%,8;8,kld;kld,channel;tensor
171,icraft::xir::SiLUNode,int8,0.44,0.00%,8;8,kld;kld,channel;tensor
172,icraft::xir::ConcatNode,int8,0.32,0.00%,8;8,kld;kld,channel;tensor
173,icraft::xir::Conv2dNode,int8,1.19,1.53%,8;8,kld;kld,channel;tensor
174,icraft::xir::SiLUNode,int8,0.34,0.00%,8;8,kld;kld,channel;tensor
175,icraft::xir::Conv2dNode,int8,0.94,2.30%,8;8,kld;kld,channel;tensor
176,icraft::xir::SiLUNode,int8,0.13,0.00%,8;8,kld;kld,channel;tensor
177,icraft::xir::ConcatNode,int8,0.11,0.00%,8;8,kld;kld,channel;tensor
178,icraft::xir::Conv2dNode,int8,0.93,1.53%,8;8,kld;kld,channel;tensor
179,icraft::xir::SiLUNode,int8,0.19,0.00%,8;8,kld;kld,channel;tensor
182,icraft::xir::Conv2dNode,int8,0.30,0.13%,8;8,kld;kld,channel;tensor
183,icraft::xir::SiLUNode,int8,0.05,0.00%,8;8,kld;kld,channel;tensor
184,icraft::xir::Conv2dNode,int8,1.06,0.57%,8;8,kld;kld,channel;tensor
185,icraft::xir::SiLUNode,int8,0.18,0.00%,8;8,kld;kld,channel;tensor
186,icraft::xir::Conv2dNode,int8,0.72,0.57%,8;8,kld;kld,channel;tensor
187,icraft::xir::SiLUNode,int8,0.10,0.00%,8;8,kld;kld,channel;tensor
188,icraft::xir::AddNode,int8,0.17,0.00%,8;8,kld;kld,channel;tensor
189,icraft::xir::Conv2dNode,int8,1.16,0.57%,8;8,kld;kld,channel;tensor
190,icraft::xir::SiLUNode,int8,0.23,0.00%,8;8,kld;kld,channel;tensor
191,icraft::xir::Conv2dNode,int8,4.09,0.57%,8;8,kld;kld,channel;tensor
192,icraft::xir::SiLUNode,int8,1.91,0.00%,8;8,kld;kld,channel;tensor
193,icraft::xir::AddNode,int8,2.28,0.00%,8;8,kld;kld,channel;tensor
194,icraft::xir::Conv2dNode,int8,0.83,0.13%,8;8,kld;kld,channel;tensor
195,icraft::xir::SiLUNode,int8,0.21,0.00%,8;8,kld;kld,channel;tensor
196,icraft::xir::ConcatNode,int8,1.35,0.00%,8;8,kld;kld,channel;tensor
197,icraft::xir::Conv2dNode,int8,2.62,0.25%,8;8,kld;kld,channel;tensor
198,icraft::xir::SiLUNode,int8,0.76,0.00%,8;8,kld;kld,channel;tensor
199,icraft::xir::ConcatNode,int8,0.39,0.00%,8;8,kld;kld,channel;tensor
200,icraft::xir::Conv2dNode,int8,1.32,1.53%,8;8,kld;kld,channel;tensor
201,icraft::xir::SiLUNode,int8,0.17,0.00%,8;8,kld;kld,channel;tensor
202,icraft::xir::Conv2dNode,int8,1.18,2.30%,8;8,kld;kld,channel;tensor
203,icraft::xir::SiLUNode,int8,0.22,0.00%,8;8,kld;kld,channel;tensor
204,icraft::xir::ConcatNode,int8,0.15,0.00%,8;8,kld;kld,channel;tensor
205,icraft::xir::Conv2dNode,int8,1.43,1.53%,8;8,kld;kld,channel;tensor
206,icraft::xir::SiLUNode,int8,0.37,0.00%,8;8,kld;kld,channel;tensor
209,icraft::xir::Conv2dNode,int8,1.53,1.15%,8;8,kld;kld,channel;tensor
210,icraft::xir::SiLUNode,int8,0.32,0.00%,8;8,kld;kld,channel;tensor
211,icraft::xir::Conv2dNode,int8,1.84,1.15%,8;8,kld;kld,channel;tensor
212,icraft::xir::SiLUNode,int8,0.58,0.00%,8;8,kld;kld,channel;tensor
213,icraft::xir::AddNode,int8,0.68,0.00%,8;8,kld;kld,channel;tensor
214,icraft::xir::Conv2dNode,int8,1.62,0.51%,8;8,kld;kld,channel;tensor
216,icraft::xir::ReshapeNode,int8,1.62,0.00%,8;8,kld;kld,channel;tensor
217,icraft::xir::SplitNode,int8,1.76,0.00%,8;8,kld;kld,channel;tensor
218,icraft::xir::MultiplyNode,int8,0.06,0.00%,8;8,kld;kld,channel;tensor
219,icraft::xir::TransposeNode,int8,0.06,0.00%,8;8,kld;kld,channel;tensor
220,icraft::xir::MatmulNode,int8,15.82,0.00%,8;8,kld;kld,channel;tensor
221,icraft::xir::SoftmaxNode,int8,0.00,0.00%,8;8,kld;kld,channel;tensor
222,icraft::xir::TransposeNode,int8,0.00,0.00%,8;8,kld;kld,channel;tensor
223,icraft::xir::MatmulNode,int8,0.90,0.00%,8;8,kld;kld,channel;tensor
224,icraft::xir::ReshapeNode,int8,0.90,0.00%,8;8,kld;kld,channel;tensor
225,icraft::xir::ReshapeNode,int8,1.22,0.00%,8;8,kld;kld,channel;tensor
227,icraft::xir::Conv2dNode,int8,0.72,0.01%,8;8,kld;kld,channel;tensor
229,icraft::xir::AddNode,int8,0.88,0.00%,8;8,kld;kld,channel;tensor
230,icraft::xir::Conv2dNode,int8,0.60,0.26%,8;8,kld;kld,channel;tensor
231,icraft::xir::AddNode,int8,1.26,0.00%,8;8,kld;kld,channel;tensor
232,icraft::xir::Conv2dNode,int8,1.57,0.51%,8;8,kld;kld,channel;tensor
233,icraft::xir::SiLUNode,int8,0.30,0.00%,8;8,kld;kld,channel;tensor
234,icraft::xir::Conv2dNode,int8,1.02,0.51%,8;8,kld;kld,channel;tensor
235,icraft::xir::AddNode,int8,1.87,0.00%,8;8,kld;kld,channel;tensor
236,icraft::xir::ConcatNode,int8,0.86,0.00%,8;8,kld;kld,channel;tensor
237,icraft::xir::Conv2dNode,int8,1.42,1.53%,8;8,kld;kld,channel;tensor
238,icraft::xir::SiLUNode,int8,0.44,0.00%,8;8,kld;kld,channel;tensor
239,icraft::xir::Conv2dNode,int8,1.20,0.07%,8;8,kld;kld,channel;tensor
240,icraft::xir::SiLUNode,int8,1.00,0.00%,8;8,kld;kld,channel;tensor
241,icraft::xir::Conv2dNode,int8,0.94,1.02%,8;8,kld;kld,channel;tensor
242,icraft::xir::SiLUNode,int8,0.27,0.00%,8;8,kld;kld,channel;tensor
243,icraft::xir::Conv2dNode,int8,1.42,0.07%,8;8,kld;kld,channel;tensor
244,icraft::xir::SiLUNode,int8,0.76,0.00%,8;8,kld;kld,channel;tensor
245,icraft::xir::Conv2dNode,int16,6.65,1.02%,16;16,kld;kld,channel;tensor
246,icraft::xir::SiLUNode,int16,4.31,0.00%,16;16,kld;kld,channel;tensor
247,icraft::xir::Conv2dNode,int16,7.20,0.10%,16;16,kld;kld,channel;tensor
250,icraft::xir::Conv2dNode,int8,7.32,2.30%,8;8,kld;kld,channel;tensor
251,icraft::xir::SiLUNode,int8,2.58,0.00%,8;8,kld;kld,channel;tensor
252,icraft::xir::Conv2dNode,int8,1.58,0.57%,8;8,kld;kld,channel;tensor
253,icraft::xir::SiLUNode,int8,0.29,0.00%,8;8,kld;kld,channel;tensor
254,icraft::xir::Conv2dNode,int16,1.96,0.01%,16;16,kld;kld,channel;tensor
257,icraft::xir::Conv2dNode,int8,0.84,0.03%,8;8,kld;kld,channel;tensor
258,icraft::xir::SiLUNode,int8,0.51,0.00%,8;8,kld;kld,channel;tensor
259,icraft::xir::Conv2dNode,int8,1.31,0.51%,8;8,kld;kld,channel;tensor
260,icraft::xir::SiLUNode,int8,0.26,0.00%,8;8,kld;kld,channel;tensor
261,icraft::xir::Conv2dNode,int8,1.77,0.02%,8;8,kld;kld,channel;tensor
262,icraft::xir::SiLUNode,int8,0.75,0.00%,8;8,kld;kld,channel;tensor
263,icraft::xir::Conv2dNode,int16,8.06,0.25%,16;16,kld;kld,channel;tensor
264,icraft::xir::SiLUNode,int16,3.97,0.00%,16;16,kld;kld,channel;tensor
265,icraft::xir::Conv2dNode,int16,8.25,0.03%,16;16,kld;kld,channel;tensor
268,icraft::xir::Conv2dNode,int8,5.08,1.15%,8;8,kld;kld,channel;tensor
269,icraft::xir::SiLUNode,int8,1.93,0.00%,8;8,kld;kld,channel;tensor
270,icraft::xir::Conv2dNode,int8,2.39,0.14%,8;8,kld;kld,channel;tensor
271,icraft::xir::SiLUNode,int8,0.34,0.00%,8;8,kld;kld,channel;tensor
272,icraft::xir::Conv2dNode,int16,2.57,0.00%,16;16,kld;kld,channel;tensor
275,icraft::xir::Conv2dNode,int8,0.86,0.02%,8;8,kld;kld,channel;tensor
276,icraft::xir::SiLUNode,int8,0.38,0.00%,8;8,kld;kld,channel;tensor
277,icraft::xir::Conv2dNode,int8,1.36,0.26%,8;8,kld;kld,channel;tensor
278,icraft::xir::SiLUNode,int8,0.40,0.00%,8;8,kld;kld,channel;tensor
279,icraft::xir::Conv2dNode,int8,1.26,0.00%,8;8,kld;kld,channel;tensor
280,icraft::xir::SiLUNode,int8,0.48,0.00%,8;8,kld;kld,channel;tensor
281,icraft::xir::Conv2dNode,int8,6.10,0.06%,8;8,kld;kld,channel;tensor
282,icraft::xir::SiLUNode,int8,4.06,0.00%,8;8,kld;kld,channel;tensor
283,icraft::xir::Conv2dNode,int16,70.25,0.01%,16;16,kld;kld,channel;tensor
286,icraft::xir::Conv2dNode,int8,4.64,0.58%,8;8,kld;kld,channel;tensor
287,icraft::xir::SiLUNode,int8,2.40,0.00%,8;8,kld;kld,channel;tensor
288,icraft::xir::Conv2dNode,int8,2.51,0.04%,8;8,kld;kld,channel;tensor
289,icraft::xir::SiLUNode,int8,0.47,0.00%,8;8,kld;kld,channel;tensor
290,icraft::xir::Conv2dNode,int16,6.35,0.00%,16;16,kld;kld,channel;tensor
293,icraft::xir::OutputNode,fp32,0.00,0.00%,32;32,kld;kld,channel;tensor
300,icraft::xir::SplitNode,int8,1.38,0.00%,8;8,kld;kld,channel;tensor
301,icraft::xir::SplitNode,int8,0.34,0.00%,8;8,kld;kld,channel;tensor
302,icraft::xir::SplitNode,int8,0.25,0.00%,8;8,kld;kld,channel;tensor
303,icraft::xir::SplitNode,int8,0.29,0.00%,8;8,kld;kld,channel;tensor
304,icraft::xir::SplitNode,int8,0.25,0.00%,8;8,kld;kld,channel;tensor
305,icraft::xir::SplitNode,int8,0.22,0.00%,8;8,kld;kld,channel;tensor
306,icraft::xir::SplitNode,int8,0.19,0.00%,8;8,kld;kld,channel;tensor
307,icraft::xir::SplitNode,int8,0.34,0.00%,8;8,kld;kld,channel;tensor
320,icraft::xir::TransposeNode,int8,1.58,0.00%,8;8,kld;kld,channel;tensor
321,icraft::xir::TransposeNode,int8,1.58,0.00%,8;8,kld;kld,channel;tensor
322,icraft::xir::TransposeNode,int8,1.78,0.00%,8;8,kld;kld,channel;tensor
323,icraft::xir::TransposeNode,int8,1.78,0.00%,8;8,kld;kld,channel;tensor
324,icraft::xir::TransposeNode,int8,0.77,0.00%,8;8,kld;kld,channel;tensor
325,icraft::xir::TransposeNode,int8,0.77,0.00%,8;8,kld;kld,channel;tensor
326,icraft::xir::TransposeNode,int8,1.62,0.00%,8;8,kld;kld,channel;tensor
327,icraft::xir::TransposeNode,int8,1.62,0.00%,8;8,kld;kld,channel;tensor
328,icraft::xir::TransposeNode,int8,1.22,0.00%,8;8,kld;kld,channel;tensor
329,icraft::xir::TransposeNode,int8,1.22,0.00%,8;8,kld;kld,channel;tensor
330,icraft::xir::TransposeNode,int8,0.90,0.00%,8;8,kld;kld,channel;tensor
331,icraft::xir::TransposeNode,int8,0.90,0.00%,8;8,kld;kld,channel;tensor
569,icraft::xir::AddNode,fp32,5220.25,0.00%,32;32,kld;kld,channel;tensor
